2026-08-13 11:02:38 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:149 | Training TF-IDF + TruncatedSVD pipeline across 4 documents...
2026-08-13 11:02:38 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:173 | Saved local embedding pipeline to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\embed\tfidf-svd-384.pkl
2026-08-13 11:02:38 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:embed_dataframe:191 | Embedding complete. Matrix shape: (4, 3), Metadata records: 4
2026-08-13 11:02:38 | INFO     | src.ml.semantic.embedding_generator | embedding_generator:save_embeddings:243 | Saved separated embedding artifacts to:
  - Vector Matrix: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\embed\test_sim_index_embeddings.npy ((4, 3))
  - Metadata Table: C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\embed\test_sim_index_metadata.csv (4 records)
2026-08-13 11:02:38 | INFO     | src.ml.semantic.faiss_index | faiss_index:create_index:77 | Initializing FAISS index 'test_sim_index' (type=FlatIP, dim=3)...
2026-08-13 11:02:38 | INFO     | src.ml.semantic.faiss_index | faiss_index:add_embeddings:147 | Added 4 vectors. Total indexed vectors: 4
2026-08-13 11:02:38 | INFO     | src.ml.embedding_registry | embedding_registry:register_index:112 | Registered embedding index test_sim_index:latest (4 vectors, Dim: 3)
2026-08-13 11:02:38 | INFO     | src.ml.embedding_registry | embedding_registry:export_markdown:164 | Exported Embedding Registry Markdown to: indexes\embedding_registry.md
2026-08-13 11:02:38 | INFO     | src.ml.semantic.faiss_index | faiss_index:save_index:234 | Successfully saved FAISS index to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\idx\test_sim_index_latest.index (4 vectors) and registered in EmbeddingRegistry.
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:build_index_from_dataframe:91 | Successfully built and registered semantic index 'test_sim_index:latest' (4 vectors).
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:143 | Resolved query 'INC001' to existing historical record. Generating query vector...
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:159 | Executing FAISS Top-2 similarity search for Incident Number: INC001...
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:_export_similarity_reports:259 | Exported Top-2 similarity retrieval reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\reports\similarity_results.csv and C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\reports\similarity_results.md
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:find_similar_incidents:159 | Executing FAISS Top-2 similarity search for Text Query: 'ATM withdrawal failing...'...
2026-08-13 11:02:38 | INFO     | src.ml.semantic.similarity_engine | similarity_engine:_export_similarity_reports:259 | Exported Top-2 similarity retrieval reports to C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\reports\similarity_results.csv and C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_build_and_query_engine0\reports\similarity_results.md
2026-08-13 11:02:38 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 25 predictors (Freq: 5, OneHot: 5, Num: 13).
2026-08-13 11:02:38 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:156 | Computing SHAP values across 15 records...
2026-08-13 11:02:40 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:199 | Exported global SHAP plots to reports/shap_bar.png & reports/shap_summary.png
2026-08-13 11:02:40 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 25 predictors (Freq: 5, OneHot: 5, Num: 13).
2026-08-13 11:02:41 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_prediction:355 | Generated structured prediction metadata across 5 records (C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_explain_prediction0\reports\prediction_metadata.json & C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_explain_prediction0\reports\prediction_metadata.csv).
2026-08-13 11:02:41 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 25 predictors (Freq: 5, OneHot: 5, Num: 13).
2026-08-13 11:02:41 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 25 predictors (Freq: 5, OneHot: 5, Num: 13).
2026-08-13 11:02:42 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:156 | Computing SHAP values across 15 records...
2026-08-13 11:02:43 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_global:199 | Exported global SHAP plots to reports/shap_bar.png & reports/shap_summary.png
2026-08-13 11:02:44 | INFO     | src.ml.explainability.shap_explainer | shap_explainer:explain_prediction:355 | Generated structured prediction metadata across 3 records (C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_explain_regression0\reports_reg\prediction_metadata.json & C:\Users\Ansh Singh\AppData\Local\Temp\pytest-of-Ansh Singh\pytest-131\test_explain_regression0\reports_reg\prediction_metadata.csv).
2026-08-13 11:07:41 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:312 | Loading training data from data\processed\train.csv and validation data from data\processed\val.csv...
2026-08-13 11:07:41 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:157 | Initiating multi-baseline comparison for target 'assignment_group' across 38 predictors...
2026-08-13 11:07:41 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 38 predictors (Freq: 10, OneHot: 22, Num: 6).
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:246 | Baseline [CatBoost]: {'accuracy': 0.8, 'f1_weighted': 0.7278} (Trained in 51.82s)
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:_export_baseline_comparison_report:292 | Exported baseline comparison reports to reports\model_comparison_assignment_group.json & reports\model_comparison_assignment_group.md
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:261 | Multi-baseline comparison complete! Best Model identified: [CatBoost] (Score: 0.7278)
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:358 | Successfully persisted complete classification pipeline to: models\catboost_assignment_group.pkl
2026-08-13 11:08:33 | WARNING  | src.ml.model_registry | model_registry:register_model:104 | Overwriting registered model metadata for key: catboost_assignment_group:v1.0.0
2026-08-13 11:08:33 | INFO     | src.ml.model_registry | model_registry:register_model:124 | Registered model catboost_assignment_group:v1.0.0 (SHA256: 57e537021c4d...)
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:378 | Registered model catboost_assignment_group:v1.0.0 (Acc: 0.8000, F1: 0.7278)
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_classifier:312 | Loading training data from data\processed\train.csv and validation data from data\processed\val.csv...
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:157 | Initiating multi-baseline comparison for target 'resolution_time_hours' across 38 predictors...
2026-08-13 11:08:33 | INFO     | src.ml.catboost.trainer | trainer:build_preprocessing_pipeline:141 | Built zero-leakage preprocessing pipeline across 38 predictors (Freq: 10, OneHot: 22, Num: 6).
2026-08-13 11:12:06 | INFO     | src.ml.catboost.trainer | trainer:train_baselines_and_compare:246 | Baseline [CatBoost]: {'accuracy': 0.0667, 'f1_weighted': 0.0242} (Trained in 212.54s)
2026-08-13 11:12:06 | INFO     | src.ml.catboost.trainer | trainer:_export_baseline_comparison_report:292 | Exported baseline comparison reports to reports\model_comparison_resolution_time_hours.json & reports\model_comparison_resolution_time_hours.md
